Date,AAPL,KO,SPY
2010-01-04,7.643214225769043,28.520000457763672,113.33000183105467
2010-01-05,7.656428813934326,28.174999237060547,113.62999725341795
2010-01-06,7.534643173217773,28.165000915527344,113.70999908447266
2010-01-07,7.520713806152344,28.09499931335449,114.19000244140624
2010-01-08,7.570713996887207,27.575000762939453,114.56999969482422
2010-01-11,7.503929138183594,28.13500022888184,114.7300033569336
2010-01-12,7.41857099533081,28.440000534057617,113.66000366210938
2010-01-13,7.523213863372803,28.51499938964844,114.62000274658205
2010-01-14,7.479642868041992,28.565000534057617,114.93000030517578
2010-01-15,7.354642868041992,28.145000457763672,113.63999938964844
2010-01-19,7.679999828338623,28.209999084472656,115.05999755859376
2010-01-20,7.56178617477417,27.75,113.88999938964844
2010-01-21,7.431070804595947,27.184999465942383,111.6999969482422
2010-01-22,7.0625,27.1200008392334,109.20999908447266
2010-01-25,7.252500057220459,27.174999237060547,109.7699966430664
2010-01-26,7.355000019073486,27.06999969482422,109.30999755859376
2010-01-27,7.424285888671875,27.2549991607666,109.83000183105467
2010-01-28,7.117499828338623,27.09000015258789,108.56999969482422
2010-01-29,6.859285831451416,27.125,107.38999938964844
2010-02-01,6.9546427726745605,27.190000534057617,109.05999755859376
2010-02-02,6.994999885559082,27.524999618530277,110.37999725341795
2010-02-03,7.115356922149658,27.434999465942383,109.83000183105467
2010-02-04,6.85892915725708,26.71500015258789,106.44000244140624
2010-02-05,6.980713844299316,26.545000076293945,106.66000366210938
2010-02-08,6.932857036590576,26.325000762939453,105.88999938964844
2010-02-09,7.006785869598389,27.0049991607666,107.22000122070312
2010-02-10,6.968571186065674,26.895000457763672,107.01000213623048
2010-02-11,7.0953569412231445,27.11000061035156,108.12999725341795
2010-02-12,7.156428813934326,26.989999771118164,108.04000091552734
2010-02-16,7.264286041259766,27.40999984741211,109.73999786376952
2010-02-17,7.23392915725708,27.665000915527344,110.26000213623048
2010-02-18,7.247499942779541,27.95499992370605,110.91000366210938
2010-02-19,7.202499866485596,27.86000061035156,111.13999938964844
2010-02-22,7.1578569412231445,27.690000534057617,111.16000366210938
2010-02-23,7.037857055664063,27.415000915527344,109.80999755859376
2010-02-24,7.166429042816162,27.57999992370605,110.81999969482422
2010-02-25,7.214285850524902,26.559999465942383,110.66999816894533
2010-02-26,7.307857036590576,26.36000061035156,110.73999786376952
2010-03-01,7.463929176330566,26.63500022888184,111.88999938964844
2010-03-02,7.458929061889648,26.649999618530277,112.1999969482422
2010-03-03,7.476070880889893,26.96500015258789,112.3000030517578
2010-03-04,7.525356769561768,27.23500061035156,112.63999938964844
2010-03-05,7.819643020629883,27.350000381469727,114.25
2010-03-08,7.824285984039307,27.229999542236328,114.2699966430664
2010-03-09,7.965000152587891,27.09000015258789,114.45999908447266
2010-03-10,8.029999732971191,27.100000381469727,114.97000122070312
2010-03-11,8.053570747375488,26.799999237060547,115.4499969482422
2010-03-12,8.092857360839844,26.674999237060547,115.45999908447266
2010-03-15,7.994286060333252,26.825000762939453,115.48999786376952
2010-03-16,8.016071319580078,26.850000381469727,116.41000366210938
2010-03-17,8.00428581237793,26.920000076293945,117.0999984741211
2010-03-18,8.023214340209961,26.975000381469727,117.04000091552734
2010-03-19,7.9375,27.375,115.97000122070312
2010-03-22,8.026785850524902,27.270000457763672,116.58999633789062
2010-03-23,8.15571403503418,27.649999618530277,117.41000366210938
2010-03-24,8.19178581237793,27.309999465942383,116.83999633789062
2010-03-25,8.094642639160156,27.399999618530277,116.6500015258789
2010-03-26,8.246429443359375,27.325000762939453,116.58000183105467
2010-03-29,8.299642562866211,27.38500022888184,117.31999969482422
2010-03-30,8.423213958740234,27.434999465942383,117.4000015258789
2010-03-31,8.39285659790039,27.5,117.0
2010-04-01,8.427499771118164,27.649999618530277,117.8000030517578
2010-04-05,8.517499923706055,27.43000030517578,118.76000213623048
2010-04-06,8.555000305175781,27.145000457763672,119.04000091552734
2010-04-07,8.592857360839844,26.90999984741211,118.36000061035156
2010-04-08,8.569643020629883,26.8799991607666,118.7699966430664
2010-04-09,8.635356903076172,27.295000076293945,119.5500030517578
2010-04-12,8.653214454650879,27.3799991607666,119.73999786376952
2010-04-13,8.65821361541748,27.51000022888184,119.83000183105467
2010-04-14,8.774642944335938,27.475000381469727,121.19000244140624
2010-04-15,8.890000343322754,27.1299991607666,121.29000091552734
2010-04-16,8.835714340209961,27.48500061035156,119.36000061035156
2010-04-19,8.823928833007812,27.65999984741211,119.80999755859376
2010-04-20,8.735357284545898,27.23500061035156,120.87999725341795
2010-04-21,9.257857322692873,27.09499931335449,120.66000366210938
2010-04-22,9.516785621643066,27.155000686645508,121.0199966430664
2010-04-23,9.672499656677246,26.940000534057617,121.80999755859376
2010-04-26,9.625,26.864999771118164,121.3499984741211
2010-04-27,9.35857105255127,26.434999465942383,118.4800033569336
2010-04-28,9.342857360839844,26.68000030517578,119.37999725341795
2010-04-29,9.59428596496582,26.8700008392334,120.86000061035156
2010-04-30,9.3246431350708,26.725000381469727,118.80999755859376
2010-05-03,9.512499809265137,26.8799991607666,120.3499984741211
2010-05-04,9.238571166992188,26.59000015258789,117.5199966430664
2010-05-05,9.142499923706056,26.82999992370605,116.81999969482422
2010-05-06,8.79464340209961,26.149999618530277,112.94000244140624
2010-05-07,8.42357063293457,26.334999084472656,111.26000213623048
2010-05-10,9.071070671081545,27.020000457763672,116.16000366210938
2010-05-11,9.161429405212402,26.80500030517578,115.83000183105467
2010-05-12,9.360357284545898,27.01000022888184,117.4499969482422
